StudentID,Gender,Nation,Religion,Region,EnrollmentYear,EntranceScore_1,EntranceScore_2,EntranceScore_3,SumScore,Aspiration,IndustryCode,GPA4_1,Rating_1,CreditsRegistered_1,CreditsEarnned_1,GPA4_2,Rating_2,CreditsRegistered_2,CreditsEarnned_2,GPA4_3,Rating_3,CreditsRegistered_3,CreditsEarnned_3,GPA4_4,Rating_4,CreditsRegistered_4,CreditsEarnned_4,TermStatus_1,TermStatus_2,TermStatus_3,TermStatus_4,Drop
4035456412,Nam,Jrai,Khìng,1,2021,6.1,5.7,7,21.55,NV1,612,1.91,Y?u,17,17,1.94,Y?u,17,13,2.18,Trung bçnh,20,20,1.33,Y?u,21,15,0,0,0,0,0
4147457451,N?,Kinh,Khìng,2,2021,6.86,8.94,6.36,21.64,NV1,7511,2.42,Trung bçnh,18,18,3.24,Gi?i,17,17,3.32,Gi?i,19,19,3.18,Kh†,20,20,0,0,0,0,0
5012357401,N?,Kinh,Khìng,2NT,2020,7.7,9.2,9,26.68,NV1,701,2.08,Trung bçnh,18,15,2.96,Kh†,27,27,3.03,Kh†,15,15,3.14,Kh†,18,18,0,0,0,0,0
5102454401,N?,Kinh,Khìng,2,2021,7.6,7.8,8.2,23.6,NV1,4011,1.83,Y?u,15,12,0.92,Y?u,18,8,1.1,Y?u,15,8,1.73,Y?u,22,16,0,1,0,0,0
6007354408,N?,Kinh,Khìng,2NT,2020,7,4.5,4.2,16.2,NV1,408,2.56,Kh†,17,17,2,Trung bçnh,15,13,0,Y?u,17,0,0,0,0,0,0,0,1,1,1
6026354405,N?,Kinh,Khìng,2NT,2020,6.8,6.5,8.6,22.4,NV1,4054,0.59,Y?u,16,5,1.58,Y?u,18,14,2.9,Kh†,21,21,1.91,Y?u,22,19,1,0,0,0,0
7063359401,N?,Jrai,Khìng,1,2020,6.2,5.5,6.5,20.95,NV2,901,2.32,Trung bçnh,19,16,2.42,Trung bçnh,19,19,2.87,Kh†,19,19,2.59,Kh†,22,22,0,0,0,0,0
7071459401,N?,Jrai,Khìng,1,2021,6.5,7,7.75,24,NV2,901,0.39,Y?u,19,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7131457451,N?,Kinh,Khìng,2NT,2021,7.4,7.25,8.8,24.69,NV1,7512,2.28,Trung bçnh,18,15,2.29,Trung bçnh,17,17,2.21,Trung bçnh,17,17,2,Trung bçnh,22,19,0,0,0,0,0
8037454406,N?,Kinh,Khìng,2,2021,6.2,8.2,7.1,21.75,NV1,406,3.1,Kh†,15,15,2.34,Trung bçnh,16,16,1.13,Y?u,15,7,2.29,Trung bçnh,28,28,0,0,0,0,0
8045354406,N?,Kinh,Khìng,2,2020,7.66,7.48,8.34,23.48,NV1,406,2.84,Kh†,16,16,2.5,Kh†,17,17,3.6,Xu?t s?c,15,15,2.56,Kh†,18,18,0,0,0,0,0
8063359401,N?,Kinh,Khìng,2,2020,8.4,7.5,6.4,22.55,NV1,901,3.42,Gi?i,19,19,3.26,Gi?i,21,21,3.29,Gi?i,21,21,3.38,Gi?i,17,17,0,0,0,0,0
8076354401,N?,Kinh,Khìng,1,2020,7.7,7.1,5.5,21.05,NV1,4011,2.22,Trung bçnh,16,14,1.88,Y?u,16,13,2.89,Kh†,19,19,2.34,Trung bçnh,19,16,0,0,0,0,0
8131457451,N?,Kinh,Khìng,1,2021,6.2,7,8.8,23.85,NV3,7512,2.33,Trung bçnh,18,18,2.63,Kh†,15,15,2.5,Kh†,19,19,2.79,Kh†,17,17,0,0,0,0,0
8146354401,N?,Kinh,Khìng,2NT,2020,7.8,7.1,6.1,21.5,NV1,4015,2.44,Trung bçnh,16,16,2.63,Kh†,16,16,2.75,Kh†,16,16,2.5,Kh†,19,19,0,0,0,0,0
9001454401,N?,Kinh,Khìng,2,2021,6.06,5.84,5.88,20.53,NV1,4011,3,Kh†,15,15,1.67,Y?u,15,12,0.97,Y?u,15,7,1.46,Y?u,24,15,0,0,1,0,0
9131457451,N?,Kinh,Khìng,2NT,2021,7.2,7.75,7.8,23.41,NV2,7512,2.75,Kh†,18,18,3.17,Kh†,21,21,3,Kh†,15,15,3.08,Kh†,19,19,0,0,0,0,0
9144354401,N?,Kinh,Khìng,2,2020,7.8,7.5,5.8,21.35,NV4,5011,2.34,Trung bçnh,16,16,2.66,Kh†,19,19,2.14,Trung bçnh,21,18,1.83,Y?u,27,21,0,0,0,0,0
32356412,Nam,Kinh,Khìng,2,2020,5.3,6.3,7,18.6,NV1,612,0.71,Y?u,17,8,0.72,Y?u,18,6,2.13,Trung bçnh,19,17,2.22,Trung bçnh,34,30,1,1,0,0,1
112354401,N?,Kinh,Khìng,2NT,2020,6.9,6.8,7.6,21.8,NV1,4011,1.94,Y?u,16,14,1.75,Y?u,16,13,2.63,Kh†,16,16,2.12,Trung bçnh,26,23,0,0,0,0,0
1108351405,Nam,Kinh,Khìng,2,2020,7,5.8,3.6,16.4,NV2,1052,1.31,Y?u,18,13,0.95,Y?u,19,10,2.26,Trung bçnh,21,21,0.68,Y?u,17,4,0,1,0,1,1
2004454406,Nam,Kinh,Khìng,2,2021,6.78,5.4,5.94,18.37,NV1,406,2.83,Kh†,15,15,2.13,Trung bçnh,16,16,2.07,Trung bçnh,15,12,1.85,Y?u,20,15,0,0,0,0,0
2026351417,Nam,Kinh,Khìng,2,2020,6.3,6.8,7.2,20.3,NV1,1171,1.06,Y?u,18,9,0.63,Y?u,19,8,1.3,Y?u,20,13,0.1,Y?u,24.5,1,0,1,0,1,1
2071454405,Nam,Kinh,Khìng,2NT,2021,8.4,6.9,8,23.8,NV1,4054,3,Kh†,15,15,2.5,Kh†,17,17,2.38,Trung bçnh,17,17,2.08,Trung bçnh,18,15,0,0,0,0,0
2101454401,Nam,Kinh,Khìng,2,2021,7.1,7.6,7.2,22.15,NV2,4011,3.53,Gi?i,15,15,1.23,Y?u,15,8,1.88,Y?u,21,18,2.23,Trung bçnh,28,28,0,0,0,0,0
3016351417,Nam,Kinh,Khìng,2,2020,7,6.7,7.8,21.75,NV1,1171,1.42,Y?u,18,13,1.52,Y?u,24,18,2.07,Trung bçnh,15,15,1.16,Y?u,23.5,13.5,0,0,0,0,0
3026354405,Nam,Kinh,Khìng,2,2020,7.7,6.9,7.6,22.45,NV1,405,0.78,Y?u,16,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
5092454404,Nam,Kinh,Tìn gi†o,2,2021,8,8,7.5,23.75,,4041,2.56,Kh†,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7037351405,Nam,Kinh,Khìng,2NT,2020,7.6,7.8,7.5,25.4,NV1,1053,2.08,Trung bçnh,18,15,2.08,Trung bçnh,19,19,2.34,Trung bçnh,16,13,1.98,Y?u,23,20,0,0,0,0,0
7044451405,Nam,Kinh,Ph?t gi†o,2NT,2021,6.7,6.57,6.17,19.94,NV3,1054,2.41,Trung bçnh,16,16,1.92,Y?u,19,19,2,Trung bçnh,18,18,1.82,Y?u,19,17,0,0,0,0,0
8103451405,Nam,Kinh,Khìng,2NT,2021,8.6,7.25,6.75,23.1,NV1,1055,2.84,Kh†,16,16,2.47,Trung bçnh,19,19,3.14,Kh†,18,18,2.61,Kh†,19,19,0,0,0,0,0
7051459401,N?,Kinh,Khìng,1,2021,8.2,8.4,8.6,25.95,NV1,901,2.82,Kh†,19,19,2.61,Kh†,19,19,3.24,Gi?i,19,19,2.82,Kh†,19,19,0,0,0,0,0
22459403,N?,Jrai,Thiàn ch£a gi†o,1,2021,6.2,6.5,8.5,21.95,NV1,903,1.08,Y?u,19,11,0,Y?u,17,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1022459403,N?,Kinh,Khìng,2NT,2021,7.8,6,7.25,21.55,NV1,903,2.79,Kh†,19,19,2.76,Kh†,17,17,2.56,Kh†,18,16,2.83,Kh†,20,20,0,0,0,0,0
5017357401,N?,Ha L?ng,Khìng,1,2020,7.5,8.8,7.4,26.07,NV1,701,2.22,Trung bçnh,18,15,0,Y?u,19,0,0,0,0,0,0,0,0,0,0,1,1,1,1
6052354404,N?,Kinh,Khìng,2NT,2020,6.75,8.2,6.4,21.85,NV1,4041,3.53,Gi?i,17,17,2.6,Kh†,15,15,3.15,Kh†,17,17,2.75,Kh†,24,24,0,0,0,0,0
3014359401,N?,Kinh,Khìng,2NT,2020,7.6,8.8,9.1,26,NV1,901,3.11,Kh†,19,19,2.89,Kh†,19,19,3.18,Kh†,19,19,3.21,Gi?i,17,17,0,0,0,0,0
9063359401,N?,Kinh,Khìng,1,2020,6.25,5.5,6.25,20.75,NV2,901,1.47,Y?u,19,14,1.73,Y?u,22,15,2.4,Trung bçnh,21,21,1.74,Y?u,17,13,0,0,0,0,0
64359401,Nam,X? ??ng,Khìng,1,2020,6.25,7.75,8,24.75,NV1,901,2.39,Trung bçnh,19,19,2.63,Kh†,19,19,2.71,Kh†,19,19,2.53,Kh†,17,17,0,0,0,0,0
